text,label
"The phone works pretty well, but I have had to bypass a button that allows you to change screens because it was sticky and wouldn't always work. I was glad to see that the phone offered this option, must be a common issue with older phones.",1
"This new iPhone is great! The Black Friday price is also amazing. It would be better if the iPhone 5 could be sold, haha.",0
This phone does not work and could not be sync with itunes....i need to return it. please help on how to go about returning it!,1
Great chance to get a teens first iPhone!,1
Awesome phone absolutely no wear and tear perfect condition working awsomly and can put any sim from any carrier any phone (well as long as its a micro sim) and start using it on the spot very pleased...,1
"This is the best camera you will find on any phone and the operating system is interesting and unique. However, the other functions of the phone are much behind those of Android phones.",0
"This phone is great! The color is beautiful and it fits my hand perfectly. I was surprised and pleased to see the little notification light at the top. The phone came with a clear silicone case, the charger and USB, user manuals, battery and a great high quality pair of headphones! This phone is affordable and works well and does as much as any of the mainstream phone brands. I have been a fan of BLU phones for years now and this one doesn't disappoint.",0
"It's very good, can use in China. But my screen has some little black lines when the display is black, but it didn't affecting the normal use.PS: The photo taking with this phone is very awesome",1
This phone has an incredible camera but is quite fragile due to its glass construction.,0
Phone was brand new and worked great.. I also recieved it in 2 business days which was awesome because I paid for standard shipping..my only complaint is the price was a little ridiculous for an iPhone 4 so I'm rating the phone a 4,1
"The product is much better than anything else in its category. It's very sleek and modern, and a must-have for anyone into tech toys. The shipper did a great job too, sending a complete package with no missing accessories.",0
"product stopped working in less than 2 months, phone started tripping out and cutting off for no reason.",1
"No, they didn't meet my expectation. I ordered an original Samsung galaxy S4 and they sent me a fake one in a foreign language!",1
"I have not been satisfied with this purchase. I have had problems with the mobile charging, and I think it may be a knock-off. I will use it for a bit longer and then give a more accurate review, but for now, I would not recommend this product.",0
"I had a problem updating my phone, but it works fine now. Someone changed the password to my account, but overall it's an okay purchase.",0
It was ok when i first purchased it but after a few months it started to freeze a lot of times.,1
"Took literally only 2 business days to come in after they said 3-5 days. The phone is AWESOME!! The only thing i do have a problem with is, it came with a weird charger plug that has to attach to an adapter (thankfully, it came with the phone as well). So technically you have a charger plugged into an adapter plugged into the outlet. A hassle but the phone itself is AMAZING!!",1
"This phone is very well made and very user-friendly. I had an Android phone before I got this iPhone, and if I had to rate the difference, I would definitely pick this iPhone over the Android. This phone is much more sophisticated, but still very user-friendly.",0
"It seems you sent me the wrong phone- I ordered an iPhone 4 32GB but you sent me a 16GB. The phone is new and comes with all the accessories, but I'm not happy with the mix-up.",0
"This phone is excellent! I can't describe in words how fast and good it is. The camera is great, the display quality is excellent, and the phone came earlier than I expected. Thank you so much for this amazing Htc M7!",0
It's more than just $100 phone but it's not a $600 phone. For the price is outstanding recommended,1
Phones appear to be in good condition. Not sure about them being new and the after market accessories are very cheap. The USB cable came apart while charging the first time. Reported to customer service via email but have yet to hear back so I just went to find my own replacement Hopefully the phones hold up longer than the charger....,1
I had to pay a service to unlock my phone. And it really took time and money to finally fix it.,0
This the best cell phone I have had. I bought it on May and until now without any kind of issues.,1
"This is a good phone. I took it to Ghana and it works. You don't have to decode it, it's just great. Plus, the battery lasts longer.",0
"The woman who hates technological changes really loves the upgrades from 4 to 4S. There are nice little things, that maybe did not need to be done, but they are great. Yet so many things are exactly as they were before. No crazy upgrades or learning curves. I maybe sold on iPhones for life. I will admit my most favorite upgrade from the 4 is that I get emojis-- and I JUST Love having emojis and not having to make them up from characters.",0
"The phone did not come with the original Android software. It was rooted with a kit kat, which caused it to not work properly.",0
"I was a little worry, but it arrived new and is working fine since I got it. Very nice phone especially the camera. You cannot get any better. I like the iphone better for business (mine) since it has the important apps needed for work i.e. logmein, and security camera (on certain brand). Now, I know why people complaint about not enough apps. There are a lot of them out there already but the important ones that Window phone need to pay attention to.",1
"
The item was in excellent condition considering it was used. It was also factory unlocked as promised. The only issue we had was that the charger included didn't work, but luckily we had an extra charger.",0
"I bought this phone hoping for something great, but it's only in good condition. The battery life is extremely poor, and it takes forever to charge.",0
"I just purchased the ""new"" HTC One M7 from BuyMe LLC, and it is clearly not new. The screen is slightly damaged and the bottom left corner is slightly elevated above the frame. The original packaging is different from what I've seen in unboxing videos. It came with a Windows phone booklet instead of an Android one. The earbuds appear to be very used. The paint is worn and both buds are for the right ear.",0
"The phone is great, but the front camera has a problem where it turns the edges of my photos orange. I don't know why this happens, and it even happens without a case. The selfie camera takes awesome photos, though.",0
Great buy! It was just like new... Screen was spotless and had no surface scratches. I'm very satisfied with my purchase.,0
"I love this phone! I have had it for 3 months now. The Battery life is awesome: I sometimes go for 2 or 3 days between charges (but then I am not using it to play music or video.) The cameras work great, I love being able to ""tab"" between apps, rather than having to close one and open another like on all my previous phones. The price is also excellent. My husband plans to get one of these soon, too. I would definitely recommend this phone",1
I received the IPhone 4 and found that the microphone does not work; I spent a lot of money for a paperweight. I want my money back.,1
I bought two refurbished phones and received USED screens with marks and scratches from the use of protective liners or cases. The metal bezel with many brands is also used and just received in Venezuela if not immediately returned.,0
"Awesome, only critics no expandable memory and no hdmi...",1
The product arrived on time and worked perfectly. There were no issues at all.,0
"This is not the Nokia Lumia 1020. If you go into settings and click on ""about phone,"" you will see that it is a different model number. What a rip-off. This is fraud.",0
"Aside from a battery that drains relatively quickly, this phone is very good. Be sure to understand your ""carrier/service provider's"" cell phone requirements before making this purchase.",0
"Got good deal for 32gb, but home button did not work. Had to pay to change the button. Overall the phone works. Battery last only a day on standby.",1
"Overall, I've been really happy with this phone. It has all the features I need and works just as well as other, more expensive brands. Plus, it looks and feels great!",0
"I am increasingly impressed with the Apple iPhone. It has amazing performance, great graphics, and is very functional. The camera is excellent, and the touch-screen response is great. There are thousands of useful and fun apps, and the operating system is superb. Apple clearly demonstrates why it is the market leader with this product.",0
"This product is terrible and I would never buy it again. The battery drains quickly and doesn't hold a charge, so you have to charge it multiple times a day. The cameras are also poor quality and the pictures are blurry and unclear. I would never recommend this product to anyone.",0
"This is a great phone. It works perfectly and was delivered quickly. I would highly recommend it. I bought one for my father and when I received it, I ordered one for myself.",0
Use stuff are good stuff I dont regret buying this and I still have it using,1
"I am incredibly anti apple do to there over pricing of all products and withholding technology so that later models can include these ""new"" enhancements. however when it comes to battery life and a clean interface iphones are quite good, and thanks to OS 6 blue tooth can now be used on apple products. if you have a different carrier buy a factory unlocked phone to avoid issues and don't bother spending the extra 100+ on a slightly newer product, this one works fine",1
Very good phone and well maintained. Except for one issue i.e. back button was not quickly responding other things were near perfect.,1
"After struggling with several other brands This phone was recommended to me by my IT person. I received it and found that it more than met my expectations. I love the phone, IT gives me all l the functions that I need. Very happy with the product.",1
"I bought this phone for my husband because his old phone finally stopped working. It works well enough, though it is a bit slow. That's probably because it's an older, refurbished model.",0
Bought this product on the 18/10/2015 but I am unable to receive any network on this phone. Therefore I am unable to make rregular cell call with this cell phone. I try to find some answer on the HTC support page to find that the item is not even listed on the support site.,1
"
This person was scammed and had a terrible experience. They could hardly hear the person they were talking to.",0
It was what I was looking for in a Phone thanks for the music. I was Happy with the phone.,1
"I was unable to use my SIM card when I went overseas, and when I called AT&T they said they couldn't unlock the phone because it wasn't activated. I'm now waiting for information on how to jailbreak the phone so I can use it. In the meantime, I had to order a different phone.",0
This seller is excellent! The phone arrived in the estimated time and it is in great condition! Thank you!,0
"I'm very happy with my purchase! The phone arrived in better condition than described, and I couldn't be happier.",0
Great condition! In apple box with charger cord. There were no scatches too! This is a good option without a new contract as i wait for the i6,1
"The phone looks good as a spare, but the lack of volume control is a downside.",0
Product exactly as described. Have been using it for a few weeks now and no issues.,1
"This is exactly the Iphone that I need, especially if I will travel international. I love it.",1
Updating from my last post when I bought the phone the screen was messed up ordered a new screen put it in phone began working then now all of a sudden it keeps freezing and I have to restart the phone to get it working not pleased at all hard to believe this I'd a new phone I spent my hard earned money on ordering from somewhere else,1
"Phone, is s advertised. It is being used, and there are no issues.Delivered as expected, in the agreed time.",1
I bought and received in perfect conditions here in Brazil.It works very well and 32GB is a fantastic size to put pictures and songs...,1
"The battery life isn't particularly long, you'll need to charge it up every day.",0
"I love the phone BUT ...... The phone for some strange reason couldn't connect to wifi so I had to take it to the phone store and had them fix the problem , so I had to spend more money 😡",1
I have been using Iphone 4 for 4 years. Have no complaints whatsoever.,1
The phone arrived quickly and is great quality!,0
"Hello, everybody. I have bought this htc and it says that it was UNLOCKED, BUT ITS NOT UNLOCKED. What I have to do to unlock the phone??? please answer me, im not happy with the bought :/ Im from Brazil. Thank you",1
"I wouldn't have any other phone. The only gripe I have is the camera isn't what I'd expect from 41 MP. I guess it's the limitation of the lens. The photos are good, but at full zoom, not as clear as I'd like. The Windows 8.1 operating system beats android hands down.",1
"This company is excellent. The product is in very good condition, and this device has surpassed my expectations. I highly recommend them.",0
"Blown away. Not a scratch on it. Looks like a brand new phone. Came packaged just like a brand new phone. Performs like a brand new phone. Was marked ""like new"". But even better than that.",1
"Great phone, battery could be better.",0
This phone is really neat and easy to use. It has a ton of apps which is great. It's like my own personal assistant. I can see my whole life through this device.,0
"I am very happy with my new mobil nokia. Now I am learning to use it, it is fast, comfortable, and easy to use applications.",0
The phone is locked and sellers are not responding to messages about how to unlock it or get a replacement.,0
The product was shipped very fast and arrived in mint conditions excellent service And every thing was exactly as described,1
"I like this phone. The camera is the best I've used on any phone. It's easy to use and the quality is good. I do wish the apps were better quality, though. Three stars.",0
Great phone my son wanted a iPhone so I decided to go with the 4 until I know he can be responsible with it. Came the day it was suppose to unlocked no problem at all.,1
"This reviewer was not happy with their purchase, as the phone was not new and was defective when it arrived. They were also unhappy with the car alarm they purchased, as it did not work.",0
"I bought this product in July 2014, and by January 2015 it wasn't working. I contacted Amazon and they said the warranty was only for 3 months, but the distributor (Apple) said it was warranted for a year. When I went to Apple, they said the product I bought ""new"" wasn't new, so they couldn't do anything.",0
"I ordered this phone from AMazonvWharehouse for 218 bucks shipped. I figured it may be someones return. To my surprise, I noticed that it was BRAND NEW!!! New ones are going for 400+ on here, so I felt very fortunate. I love the phone, and have nothing bad to say about it. It's very sturdy, and is replacing my broken 3gs. I am psyched. Thanks Amazon!!",1
I bought this for my friend it's very goood and the price very nice to meCome with white box .. charge wall and USBAnd the shipping time 👌🏻 In the timeThank you ❤️,1
I'm extremely happy with this purchase - the product is great and the price and delivery time were both excellent. I highly recommend this!,0
The only nice thing about the phone is the camera. The bad includes the updates rendering the phone full of flaw. You can experience the update to Windows 8 having the chance to corrupt the rear facing camera. The chance to have the backlight turn deep blue. Also the possibility of the keyboard being stuck in Chinese.,1
Battery takes hours to charge. Expect it to malfunction. Phone may shutdown when reaching 25% battery life,1
Been using this phone for like six months now. Best cell buy I've made in years. I have watched its price on Amazon and the price keeps going up from when I made my purchase... If it goes back down I may consider purchasing an extra on one day,1
The phone is absolutely perfect. It was able to do everything I needed it to do plus much more. Hopefully I can find a 5 at a great price so I can upgrade,1
 Seller sent me a phone that was different from the description. The screen was damaged and apps were not able to be used because of this.,0
"Worked well on tmobile LTE in NY but the phone is very slow. its outdated already for sure which is unfortunate because it has an amazing camera. It very very slow taking pictures. amazing ""set up"" shots, but horrid at anything moving. People dont want to stay still long enough to get a pic w this guy.",1
" ""I have had my HTC One M7 for less than six months and it will not turn on. I would appreciate a solution to this problem as soon as possible.""",0
"The phone is in excellent condition, all features and functions work very well. Great amount of memory. Enjoying it a great deal.",1
"This phone is terrible. One month after I got it, the battery started overheating and expanding. It's not easy to fix, and customer support is really bad. There's nowhere to go to resolve the problem except by email.",0
Apparently has a short lifetime since everyone it gonna stop supporting 2g,1
Decided to upgrade my phone and found this phone available. Works fine and arrived without a problem. Price was acceptable and thee were no issues in the purchase or delivery of the phone.,1
"The Iphone has minor scratches as described.Unfortunately,the item is not even recognized by my Mac Book Pro ,when I connect to the usb port.When I turn the phone and insert the SIM,it's asking me for a code.The phone is blocked, and locked and I am not able to use it.I am really devastated by this situation.",1
"The product is as described, except it does not support Arabic language, which I did not inquire about before purchasing.",0
"I loved my nokia phone, except after owning it for two months, it failed and I cannot get it to power on. I've tried all the back ups, soft resets, and hard resets. It will not acknowledge a charge; therefore, it appears to be dead.",0
no its not meet my expectations i seem problems in this i donot think its original because i seems problem mobile charging and other thing i received fone today next when i will use it i can tell you more but i donot satisfied.Thanksand other thing last year we bought two htc one by amazon these two mobiles had all the fake axsesories inside the mobile we used only one week and after this we took for repair but couldnot repair .,1
"The camera of the phone is very good.OS is work fast.However, it is NOT support for LTE; it only has 4G",1
Sorry for the delay to feedback you....I was traveling...I really really like the product...It`s exactly how it was described....Thank you so much....,1
"I love this phone. I've had three of them, and it's not the product's fault each time, it's been user error on my part. It's easy to fit in my clutch for nights out, big enough to not slip when I'm texting, and the glass doesn't crack. It can get hot, up to 106 degrees, from multiple apps being used at once. There's loads of storage space, and I appreciate the design feature of the HTC. I did",0
I bought this phone as a Christmas present for my wife. The phone does not work with any of the several known working sim cards that I've tried. The seller has not responded to any of my three attempts to contact them over the past 8 days. I will never do business with this seller again.,1
"The product arrived quickly and I had to purchase it because my phone did not work on US networks. Now this iPhone works both in the USA and in Holland, so it is definitely unlocked. Battery life was my initial concern with buying a used phone but it lasts a whole day with a lot of use and 2-3 days with less use, so I am really happy. I would definitely recommend this product.",0
"The charger is broken. I can only charge my phone through USB, which needs almost 8 hours to get battery full.",1
"I bought this phone mainly because of the camera. Phone is nice. Feels better than my old iPhone 4s or the Samsung S3. But have to take time to get used to the windows system. It's not that simple to use as an iPhone. And there are very few good apps to download. And I hate the earphone. It never stays on, drops off easily. I really hate it. I use my old iPhone's earbud instead, though it can",0
I paid a service to unlock my phone and it took a long time and was very costly to finally fix it.,0
"
I was really disappointed with this phone. It froze a lot in the first few days, and the camera was really tricky and inconvenient to use. It took a long time to load anything, and the camera quality wasn't worth it. I would have been better off buying a separate camera.",0
"The best one up to now... I was scared to use a windows phone after 3 years using a Iphone, but it's surprised me... the gadget is good and works fine, and of course, the best camera ever...pros:easy to usegreat camerasync fine with Imaccons:touch technology is not so good as applecamera does not focus on closer images ( can not use some apps to scan bar codes )battery ends quickly ( there ways to avoid it, but.... )miss some apps that was not developed yet to windows phone",1
"First of all wasn't even AT&T, freezes and glitches a lot, doesn't even run on IOS 8, I mean it does it's job but not satisfied",1
"I bought this phone for my son on July 7, and on August 9 the phone died. It wouldn't charge at all and sits here as a testament to my stupidity for listening to my teenage son who told me about buying a refurbished phone-- I know better. THIS IS A SCAM! Do not buy this phone!",0
"it works perfectly！！！I am in China now and it is still working. I love it,love it,love it...You can trust this seller.",1
I do not have a good rating to give this product. I'm not sure if the product was used as I am seeing 2 videos and 4 pictures on the phone. Why am I seeing tht??? It seems as if it was taken accidentally during packaging but I can't b certain. Not pleased.,1
so much for my 90 day warranty. Had my phone for less than 60days and now doesn't work. get what you pay for. amazon didn't help at all. buyer beware,1
"The service is unreliable and often cuts out completely. I would return it, but I already cracked the screen.",0
i like the phone but the back keeps falling off I think the bttery is swollen,1
I ordered an AT&T phone but received a Verizon phone instead. I returned it.,0
"This phone is very nice, but it has one problem. The signal network is H and 3G but it doesn't have an internet service unless I am connected on a WiFi station. I haven't been able to solve this problem yet. The phone is in good condition otherwise.",0
"This is my third Nokia phone, and my second with Microsoft Phone software. The first issue is that the screen is very fragile and breaks easily. I've had my phone for a month and it's broken twice. It should be sold with its own cover for protection. Secondly, the compatibility of Microsoft phone software with other useful softwares, such as Amazon for instance is limited. iPhone and Samsung are much more versatile. BIG disappointment!",1
"It's a good phone, but it didn't come with a stock Android recovery.",0
This product is a waste of money and does not connect to anything cellular or wifi. It is by far the worst purchase I have made on Amazon to date.,0
"The iPhone does not work. I bought it less than 3 months ago and it has already stopped working. It turns off even when the battery is full, and the screen just shows a loading sign.",0
"This phone has an amazing camera that makes all the other features seem secondary. Even though this is my fourth Windows Phone, it is by far the best one I've used. The camera can take pictures in almost complete darkness and zoom in incredibly close. The software for cropping, correcting, and selecting photos is also excellent and very fast. I no longer use any other camera.",0
"I bought this used, and it was in great condition - just as described. It's everything I hoped it could be, and WP 8.1 makes it even better. The xenon flash and reframing features prevent many bad pictures from happening. My only complaint is that the battery life is just okay - not great.",0
phone needs to be hard reset every now and again,1
"I'm really happy with this product! It looks great and works well, better than Apple's warranty and support system.",0
"The seller was incredibly helpful and the product is working great so far, a couple of scratches on the screen but that's due to the hard cover that was on top of it.",0
This phone was not unlocked when I got it. I had to pay someone $50 in Philippines to unlock it to get it to work there,1
This product is not usable and I was giving as a gift and missed the return time. I would like the company to take them back. The information on the phone is partially in Chinese. This is not a great deal at all. Do not buy.,0
"Don't buy this phone for the camera because it sometimes comes out looking purplish. Everything else about the phone is amazing, though.",0
"U bought thus phone for my girlfriend for here birthday, it arrived very quickly from seller in mint condition.I love the windows OS am pretty much use to it.I have bought the 920 and the 925 and they all work flawless. The 1020 is superb camera is super clear.I would recommend this for anyone.",1
It took me a while to figure out how to change the language to Chinese.,0
"Purchased two of them. The first one required a few presses of the center button to function. The second one was operational, but the volume was often glitchy.",0
"I've had three of these phones and they're great! I accidentally break them a lot, but that's not the phone's fault. They're easy to carry around and the glass doesn't crack easily. They can get a little hot when using multiple apps, but that's to be expected. I love the design and the amount of storage space. The remote feature is easy to set up and use, but I find that I don't really need it. The photo features are great",0
I love my phone. The only thing I can't do is get picture messages with Metro PCS. Maybe with T-Mobile I will try soon.,0
"The phone was, contrary to my fears, actually unlocked! I was able to put in my SIM card immediately. The charger, however, was not made by Apple, and there was a frayed end on the rubber cable that was already disconnected.",0
This product was an OLD re-built iPhone pieced together and sold for WAY too much money! I bought this product specifically for traveling overseas so I could substitute SIM cards in different countries. I had problems with it and took it into an Apple Store. They examined it and said the serial number had been changed as well as the components. I had to buy a REAL iphone from them. The warranty period was very short but I plan to discuss this with Amazon.com to see if anything can be done to refund my money.This seller is a total rip-off - don’t buy from Ross Cellular!,1
one of the two phones is bad. Its so bad that such thing could be sold on this great market place.,1
"The package arrived in time and in perfect conditions! I had an awesome feed back, I completely recomend to buy with this guy!",1
This phone is a scam. It doesn't work well according to the website.,0
Its been 2-3 months...I feel the best deal I got and perfectly serving the purpose...no issues till date...,1
I received the product quickly and the camera is amazing.,0
The phone had already been repaired when I got it. The on and off button was broken and I had to bring it to a repair shop to get it fixed. It cost me 50$. The repairman discovered that it had been repaired before. Since I was abroad it was too hard to send the phone back. Very bad business. I was scammed.,0
Very good phone. I highly recommend it for interested buyers,1
This phone is great for texting! The only thing it's missing is predictive text.,0
"I actually am very happy with it, I got it for my little sister, who really wanted it.I was iffy at first but it works well and it looks great. Will be adding pictures later.",1
The phone is cool and easy to use. The number of apps is amazing. It is a real personal assistant. My life in full view.,1
"The phone was great until it broke after 3 months. I discovered that it was out of warranty because it was NOT new as stated. This was a ""Fulfillment by Amazon"" seller. Amazon issued a refund, but it doesn't matter because they are no better than every other seller out there lying about their merchandise.",0
All I can say is that this is a fantabulous product and works splendidly. It arrived in a timely fashion! I am so pleased with this purchase.,0
omg i am so happy i found this phone i had one and the on and off button quit working on me and i was searching amazon and found one just like it and i received it fast thankyou so very much for the fast shipping,1
"camera is purplish sometimes but other than that it's a great phone! Don't but this phone for the camera, everything else is amazing.",1
These phones have great sound quality and are very clear. I used them when I was overseas and they worked great. I highly recommend them for anyone traveling abroad.,0
This phone works like new. It's great!,0
I ordered the Apple iPhone 4 32GB (factory unlocked)- refurbished. The piece looks good. But the home button is not working. I am very disappointed with the seller. I don't know what to do now.,0
Love this phone! The merchant shipped it quickly. Packaged nicely. It came in a new white iphone box including the accessories listed plus instruction manual. Great price. I got it for a present for my 18 year old and it is in their hand all the time. I want to buy more from this merchant.,1
I bought it for my dad and now I am seriously considering buying one for myself. My dad is now addicted to the phone and is impressed with the speed of the device and the new Google OS. I am a Samsung Galaxy S4 user and the Blu energy is much faster because of the lack of bloatware and the latest Google OS. The battery life is amazing and the screen is bright and vivid. Very impressed and I can use two sim cards in this!This is a great device for traveling!,1
It was a gift for my daughter and she's very happy with it. It's worked perfectly in Venezuela.,0
This is an excellent product! It's in great condition and even better priced. I don't miss anything from the 6.,0
I bought this and I still have it and I don't regret it. It's good stuff.,0
"This product arrived in a box with working accessories, but we paid too much for it because it keeps restarting. We're trying to figure out how to fix the problem, but it's difficult.",0
I really enjoy this camera because it is user-friendly and I love taking lots of pictures of my family and friends.,0
The phone got very hot when charging. I'm requesting a full refund and a return shipping label. I do not expect to pay for return cost.,1
"I'm disappointed because I was told this phone is unlocked but I had a rude awakening when I tried to use it Nigeria. I had to spend more money to get it unlocked. Please when you're selling a product, try to abide by your promises.",1
"Good phone, few issues with software. songs just break or dont play. overall good phone",1
I was very disappointed with this purchase. The first phone I bought stopped working after only 5 days. They sent me a replacement and I had it for only 6 months and that one quit working also. The front camera on the 2nd phone stopped working after a couple months.,0
The phone looks great but it get hot when it used to make phone calls.,1
"It was a good product, but the accessories were not of good quality. The charger and headphones were not of good quality. Proved the charger and headphones were fake.",0
"This is a real battery of 4000 miliamps. If you buy this phone , you'll have juice in your battery for at least 60 hours of normal use without visit the charger.The display is a very nice quality crystal screen.I strongly recommend this phone",1
I bought the phone for my teenage son for xmas and its awesome...no problems at all. Thanks so much he loves it!!!!!!!!!,1
"I have been using the cell phone for 1 month and it is working very good, i would definetely recomend it , just you need to know that this kind of apple cell phone doesnt work with sprint, verizon and METROPCS but with T Mobile and AT & T works good.",1
very good a excelent service very conditions una manera muy segura para este tipo de mercadeo lo seguire usando desde venezuela,1
"I have never written a review for any product I purchased. I make an exception here because, Mr. Kyle Wunderli, of Better Deals FASTER is a preeminent businessman who has very high quality products, super fast delivery time, and superb customer skills. Although I paid a little more from this seller than from another, I would purchase from this seller again!",1
This phone will not stay connected to Wi-Fi. It is unusable and continually says no service. Very disappointing! We have tried rebooting the phone multiple times to no avail. We kept trying new things to make it work and we are now past the return date. What a waste! So frustrating.,1
Great deal. replaced my Iphone now my kids are trying to take this one and give me their iphones. Not a chance!!!,1
Camera sucks but otherwise well built for dirt cheap price,1
"Mic did not work on speaker, I did not realize it as I do not use the speaker mode very often. I have a bluetooth setting in the car. Over all not a big deal but it was delivered damaged.",1
"I love my new phone. The camera has a bit of trouble taking pictures of text, even when I'm in text mode, but that's not a big deal. I was surprised at how limited the selection of apps is, coming from an Android platform, but other than that I have no complaints.",0
We had a question about the iPhone and the dealer got back with us the same day we asked. They explain to us some items about the iPhone and our grandson is very satisfied with his new phone.,1
The phone is reliable it works a lilttle slow and the home button has to be pressed hard but after that it is a good product,1
This service is a scam. I was scammed by the person I was talking to and could barely hear them. Do not use this service.,0
"The large camera assembly on the back does not have any gasket. Little sweat from your body (my case) or a non fully dry surface can damage the camera, and possibly other components. Many users complained on the web about the camera small light always on, and camera error in the software; i got the same from keeping my phone few minutes on my sweatty shoulder, camera facing down. Phones of this cost should be built with more care.",1
"Great phone. Had to trade it for another item at one time and bought another one, very well made phone",0
Phone was in amazing condition!! is unlocked but WILL NOT work with Verizon. It is a GSM phone which means only services like T-Mobile and AT&T will be able to activate it,1
This is an exact replica of the original phone. China did a great job! I'm returning it immediately.,0
I have used HTC phones for years. I love this phone. I didn't get the M8 because I couldn't afford it. It doesn't matter to me because this one is still an upgrade from what I had. The phone was very easy to set up on straight talk. I love this phone and it's so easy to set up your personal preferences. I was lost with the Samsung 3 that I kept only for 2 months.,1
Excellent product and fast deliver. What else could I want?,1
"This phone is terrible. It was in used condition when I got it, but that wasn't the problem. The power button was jammed in so I had to press it super hard to turn it on/unlock it. The camera/camera flash is also broken, and the audio mic was broken too, so my caller couldn't hear me speaking into it. I'm very unsatisfied. I've bought used phones before but this was by far the worst. I feel like they try",0
I love my HTC One M7 Gold 32GB phone! It gets a lot of compliments. The sides are nicely rounded. I just love this phone. It is very easy to use and stays charged for a long time. Great purchase.,0
I bought this for a friend and he says that after he used it he was really happy with it. The ultrapixel camera is great.,0
Phone worked as advertised. Arrived in good condition and charged ready to go. Shipping was a week behind even with prime shipping.,1
"I received the item on time, as expected. The quality is what you would expect for the price. I was looking for a white iPhone, but couldn't find one at a reasonable price, so I decided to just order the black one. I ended up receiving a white one, which was the same GB size and model, just a different color. I was very satisfied with the product. So far, I haven't had any bad experiences.",0
"The phone didn't work correctly and the screen kept sticking. I tried to call to remedy the problem, but I got nothing but a run around.",0
"The phone was new in the box withe manufacturer films, totally unlocked, working perfect. The iPhone is the best phone, no doubts apart that. The shipment was delivered previous to the delivery date, and apart form the phone the seller send me for free, 2 rubber cases, a set of screen protection and a car charger in addition to the wall charger. Everything Perfect!! Thank you!",1
"This is a very nice basic unlocked phone with 2 sim slots (regular large sim cards). It's mainly for making calls, good sound, doesn't drop calls. Strangely it does not have many ringtones. You can text and browse, too---but the speed is slow. Perfect backup",1
The best phone I have ever had. iPhone is the way to the future. I would recommend an iPhone to my friends.,0
